text,type,typeId,Description
Media -> Videogame,Process 2(GS),creately.dfdgs.process2,
Media -> Movie,Process 2(GS),creately.dfdgs.process2,
Media -> Book,Process 2(GS),creately.dfdgs.process2,
Media -> Music,Process 2(GS),creately.dfdgs.process2,
Media -> TV,Process 2(GS),creately.dfdgs.process2,
Data,Data Store 1 (GS),creately.dfdgs.datastore1,
Member,Entity,creately.dfdgs.entity,
Notifications,Process 2(GS),creately.dfdgs.process2,
Follow,Process 2(GS),creately.dfdgs.process2,
Unfollow,Process 2(GS),creately.dfdgs.process2,
Recommendation -> Movie,Process 2(GS),creately.dfdgs.process2,
Recommendation -> Book,Process 2(GS),creately.dfdgs.process2,
Recommendation -> TV,Process 2(GS),creately.dfdgs.process2,
Recommendation -> Game,Process 2(GS),creately.dfdgs.process2,
Recommendation -> Music,Process 2(GS),creately.dfdgs.process2,
Social,Data Store 1 (GS),creately.dfdgs.datastore1,
Users,Data Store 1 (GS),creately.dfdgs.datastore1,
Member,Entity,creately.dfdgs.entity,
Member,Entity,creately.dfdgs.entity,
Social,Data Store 1 (GS),creately.dfdgs.datastore1,
Member,Entity,creately.dfdgs.entity,
Data,Data Store 1 (GS),creately.dfdgs.datastore1,
